Name,Maintained,CodeReview,Criticality
github.com/PrestaShop/PrestaShop,10,10,35
github.com/llvm/llvm-project,10,0,24
github.com/harfbuzz/harfbuzz,10,0,367
github.com/desktop/desktop,10,10,453
github.com/badges/shields,10,10,669
github.com/activeadmin/activeadmin,10,0,692
github.com/stan-dev/math,10,9,886
github.com/melpa/melpa,10,0,659
github.com/semantic-release/semantic-release,10,9,694
github.com/distribution/distribution,10,10,695
github.com/Bitcoin-ABC/bitcoin-abc,10,10,457
github.com/knex/knex,10,8,439
github.com/PaddlePaddle/Paddle,10,10,248
github.com/atom/atom,4,0,390
github.com/warmcat/libwebsockets,10,0,556
github.com/etcd-io/etcd,10,10,450
github.com/http4s/http4s,10,10,487
github.com/greenplum-db/gpdb,10,9,588
github.com/dotnet/maui,10,6,993
github.com/squizlabs/PHP_CodeSniffer,10,0,813
github.com/wordpress-mobile/WordPress-iOS,10,10,640
github.com/librenms/librenms,10,3,501
github.com/mozilla/addons-server,10,0,655
github.com/apache/zeppelin,10,9,581
github.com/rstudio/rstudio,10,3,636
github.com/ManageIQ/manageiq,10,4,654
github.com/verdaccio/verdaccio,10,0,827
github.com/Sage/carbon,10,6,653
github.com/reactioncommerce/reaction,10,10,446
github.com/boto/boto3,10,0,575
github.com/JetBrains/kotlin,10,0,353
github.com/ReactiveX/rxjs,10,9,531
github.com/apache/incubator-mxnet,10,9,667
github.com/ethereum/solidity,10,10,399
github.com/dimagi/commcare-hq,10,5,393
github.com/getsentry/sentry-javascript,10,10,183
github.com/videojs/video.js,10,7,856
github.com/mapbox/mapbox-gl-js,10,10,521
github.com/craftcms/cms,10,0,317
github.com/bitnami/charts,10,8,508
github.com/espnet/espnet,10,3,620
github.com/Dolibarr/dolibarr,10,0,38
github.com/apache/maven,10,5,634
github.com/awesomeWM/awesome,10,10,666
github.com/conventional-changelog/commitlint,10,0,885
github.com/FFmpeg/FFmpeg,10,0,709
github.com/prometheus/node_exporter,10,7,609
github.com/openshift/release,10,9,860
github.com/LimeSurvey/LimeSurvey,10,1,321
github.com/dart-lang/sdk,10,10,134
github.com/MicrosoftDocs/sql-docs,10,0,136
github.com/facebook/fbthrift,10,8,223
github.com/jgm/pandoc,10,0,524
github.com/PyCQA/flake8,10,3,780
github.com/symfony/symfony-docs,10,1,78
github.com/rubygems/rubygems,10,6,34
github.com/samba-team/samba,10,0,625
github.com/syncthing/syncthing,10,7,938
